feat_path_a,feat_path_b,label,description,pair_kind,source_group
001_ori.npy,001_comp.npy,1.0,plag: 'Summer Dream' → '김민종   귀천도애(歸天道哀) (가사 첨부)',mippia_positive,mippia
003_ori.npy,003_comp.npy,1.0,plag: 'The Gap Band - Oops Upside Your Head' → 'Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars',mippia_positive,mippia
004_ori.npy,004_comp.npy,1.0,plag: 'Las Chicas Del Can El Negro No Puede' → 'Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song)',mippia_positive,mippia
005_ori.npy,005_comp.npy,1.0,remake: 'Jennifer Rush - The Power Of Love (Official Video) (VOD)' → 'Céline Dion - The Power Of Love (Official Remastered HD Video)',mippia_positive,mippia
009_ori.npy,009_comp.npy,1.0,plag: 'Love Is A Wonderful Thing (1991 Remastered)' → 'Michael Bolton - Love Is a Wonderful Thing',mippia_positive,mippia
011_ori.npy,011_comp.npy,1.0,remake: 'Without you - Badfinger' → 'Mariah Carey - Without You (Official Lyric Video)',mippia_positive,mippia
013_ori.npy,013_comp.npy,1.0,plag: '조덕배 - 나의 옛날 이야기' → '&design(앤디자인)-문근영',mippia_positive,mippia
014_ori.npy,014_comp.npy,1.0,plag: '情熱(정열)-斉藤由貴(사이토 유키)' → '[ArtTrack] 변진섭 - 로라',mippia_positive,mippia
015_ori.npy,015_comp.npy,1.0,plag: '＂Dont Look In My EYes＂ - Sam Harris (1984)' → '날 울리지마 (Don’t Make Me Cry)',mippia_positive,mippia
016_ori.npy,016_comp.npy,1.0,plag: 'シャ乱Q「こんなにあなたを愛しているのに」' → '플라워-친구',mippia_positive,mippia
017_ori.npy,017_comp.npy,1.0,plag: '하늘에서 내리는 1억개의 별-空から降る一億の星-the smile has left your eyes' → 'FTISLAND (FT아일랜드) - 사랑앓이 [가사⧸Lyrics]',mippia_positive,mippia
018_ori.npy,018_comp.npy,1.0,plag: '[Official Audio] 이정현(Lee Jung-hyun) - 와' → 'Bandido - Vamos Amigos (Eurodance Version)',mippia_positive,mippia
