seed,baseline_roc_auc,baseline_f1,ablated_roc_auc,ablated_f1
123,0.7678571428571429,0.7857142857142857,0.7142857142857143,0.0
456,0.5059523809523809,0.6363636363636364,0.7321428571428572,0.13333333333333333
789,0.5416666666666667,0.6086956521739131,0.5535714285714285,0.0
1011,0.7321428571428571,0.7142857142857143,0.6785714285714285,0.0
2024,0.5892857142857143,0.5833333333333334,0.47023809523809523,0.13333333333333333
3031,0.6666666666666666,0.6666666666666666,0.613095238095238,0.0
4049,0.5952380952380952,0.64,0.5178571428571428,0.13333333333333333
5051,0.625,0.6666666666666666,0.6428571428571429,0.23529411764705882
6067,0.7857142857142857,0.6956521739130435,0.75,0.13333333333333333
7079,0.6964285714285714,0.6086956521739131,0.6607142857142857,0.25
