backend,aggregation,seed,n_test_pairs,n_eval_pos,n_eval_neg,roc_auc,pr_auc,score_mean,score_std
siamese,mean,123,18,12,12,0.7986111111111112,0.7439768077925972,0.43084921563665074,0.12595450275891906
siamese,mean,456,18,12,12,0.826388888888889,0.7780816405816406,0.44987770169973373,0.07274272815708757
siamese,mean,789,18,12,12,0.5277777777777778,0.5146554564952903,0.48028335720300674,0.07735320066760687
siamese,mean,1011,18,12,12,0.875,0.9038494185553008,0.4558836718400319,0.07035904198278711
siamese,mean,2024,18,12,12,0.7152777777777778,0.7072559170275888,0.45531920591990155,0.08737128255604625
siamese,mean,3031,18,12,12,0.6736111111111112,0.6473732887626076,0.4820981485148271,0.06157941811063327
siamese,mean,4049,18,12,12,0.6875,0.6069511779070602,0.46578743184606236,0.08368271185067154
siamese,mean,5051,18,12,12,0.6041666666666666,0.568674933105711,0.4611381031572819,0.06489312630252252
siamese,mean,6067,18,12,12,0.826388888888889,0.7383329633329634,0.4556392965217431,0.0910147744629096
siamese,mean,7079,18,12,12,0.8472222222222222,0.8246892609024963,0.4648336097598076,0.07022068128853313
siamese,max,123,18,12,12,0.7013888888888888,0.7413735300883638,0.6015473368267218,0.061133804534111984
siamese,max,456,18,12,12,0.7847222222222222,0.8163554310613134,0.5967254489660263,0.05039751166810146
siamese,max,789,18,12,12,0.5277777777777777,0.5600660845146139,0.6180040314793587,0.06120010315396678
siamese,max,1011,18,12,12,0.5833333333333333,0.6879651129457631,0.604348054776589,0.05598084890831731
siamese,max,2024,18,12,12,0.7083333333333334,0.7193104288499026,0.5983858580390612,0.055811056579533655
siamese,max,3031,18,12,12,0.4444444444444445,0.5432019777608013,0.6332934200763702,0.0293005702634831
siamese,max,4049,18,12,12,0.6874999999999999,0.6709862985598279,0.6277216970920563,0.06323215496035188
siamese,max,5051,18,12,12,0.6041666666666666,0.5583780741675479,0.6016052737832069,0.0649177044786485
siamese,max,6067,18,12,12,0.7847222222222222,0.7301179814337708,0.6256267204880714,0.058061773564640914
siamese,max,7079,18,12,12,0.7847222222222223,0.7228428491586387,0.5984313227236271,0.06036122726420182
siamese,topk_mean,123,18,12,12,0.7222222222222222,0.7510043268515135,0.5924591049551964,0.06354571876698319
siamese,topk_mean,456,18,12,12,0.798611111111111,0.833614417989418,0.5906126710275809,0.0510935231894086
siamese,topk_mean,789,18,12,12,0.5347222222222222,0.5683994178479472,0.612806332608064,0.060752640717831236
siamese,topk_mean,1011,18,12,12,0.6111111111111112,0.69990039988105,0.5968539727230867,0.0571405265741921
siamese,topk_mean,2024,18,12,12,0.7291666666666666,0.7760233918128655,0.5916914182404677,0.056558866783865146
siamese,topk_mean,3031,18,12,12,0.4513888888888889,0.5818248132586368,0.6261530369520187,0.028647904744195676
siamese,topk_mean,4049,18,12,12,0.6805555555555555,0.6293196318931613,0.6212189023693403,0.061158249309689085
siamese,topk_mean,5051,18,12,12,0.6180555555555556,0.5685230017037798,0.5946674446264902,0.0646874782855559
siamese,topk_mean,6067,18,12,12,0.7916666666666666,0.733041958041958,0.6150264417131742,0.05959445145897925
siamese,topk_mean,7079,18,12,12,0.7986111111111112,0.7287624684683508,0.5926261010269324,0.05956428934160244
siamese,softmax_weighted,123,18,12,12,0.7708333333333333,0.7373459873459873,0.47712986171245575,0.09619592088615056
siamese,softmax_weighted,456,18,12,12,0.875,0.8659484034484034,0.4892819970846176,0.0624785128133676
siamese,softmax_weighted,789,18,12,12,0.5347222222222222,0.555591841733146,0.522888238231341,0.06847162650650061
siamese,softmax_weighted,1011,18,12,12,0.875,0.912108703130375,0.49419933433334035,0.06431079421635928
siamese,softmax_weighted,2024,18,12,12,0.7083333333333333,0.6907812367371191,0.49518629163503647,0.07676242348562663
siamese,softmax_weighted,3031,18,12,12,0.6041666666666666,0.558030918170237,0.528907677779595,0.042513853212722975
siamese,softmax_weighted,4049,18,12,12,0.7222222222222222,0.6266304966962861,0.5189828326304754,0.06753947388035862
siamese,softmax_weighted,5051,18,12,12,0.6041666666666666,0.5517665004078047,0.49522030850251514,0.06612924163614753
siamese,softmax_weighted,6067,18,12,12,0.7916666666666667,0.703549691049691,0.5035972582797209,0.08351346722451596
siamese,softmax_weighted,7079,18,12,12,0.8541666666666667,0.8102122414622415,0.5006747469305992,0.06686063230856072
cosine,mean,123,18,12,12,0.7569444444444444,0.7578295486190223,0.9456684738397598,0.02829881776831251
cosine,mean,456,18,12,12,0.5069444444444444,0.5834610199741779,0.9426230962077776,0.027371902100904878
cosine,mean,789,18,12,12,0.7430555555555555,0.8118292526187263,0.9481417015194893,0.02085974720071709
cosine,mean,1011,18,12,12,0.8125000000000001,0.8494210589605327,0.93963273614645,0.0337449276306139
cosine,mean,2024,18,12,12,0.7152777777777778,0.7676346801346801,0.9301437089840571,0.04406696893873073
cosine,mean,3031,18,12,12,0.7152777777777778,0.7865300141035435,0.9375528121987978,0.029627859289322846
cosine,mean,4049,18,12,12,0.763888888888889,0.7138172084143951,0.9414093121886253,0.03213504459093704
cosine,mean,5051,18,12,12,0.5833333333333333,0.6546941849573428,0.9408912012974421,0.028800077200454452
cosine,mean,6067,18,12,12,0.7013888888888888,0.7328369479104774,0.9334705993533134,0.042051350028415826
cosine,mean,7079,18,12,12,0.8611111111111112,0.9115023935995803,0.9463907182216644,0.019948784799049303
cosine,max,123,18,12,12,0.8402777777777777,0.8975645813881108,0.9879972810546557,0.006400150119753435
cosine,max,456,18,12,12,0.7152777777777778,0.7856902356902357,0.986929401755333,0.0051842861030564685
cosine,max,789,18,12,12,0.5902777777777778,0.6476189685071264,0.9897937029600143,0.004658091593825619
cosine,max,1011,18,12,12,0.798611111111111,0.8279942279942281,0.9861157760024071,0.010989780372801211
cosine,max,2024,18,12,12,0.6944444444444444,0.7494705457940752,0.9848277270793915,0.016473312928845067
cosine,max,3031,18,12,12,0.7083333333333334,0.7549404098317142,0.98989387601614,0.004910901501604938
cosine,max,4049,18,12,12,0.673611111111111,0.7122823734236778,0.9895323440432549,0.00582498302547666
cosine,max,5051,18,12,12,0.6875,0.7494181744181745,0.9889030332366625,0.00533545950376634
cosine,max,6067,18,12,12,0.6736111111111112,0.6581176133807712,0.9857508763670921,0.014024544888226723
cosine,max,7079,18,12,12,0.8333333333333335,0.8924783549783549,0.9887065788110098,0.004254829791030442
cosine,topk_mean,123,18,12,12,0.8333333333333333,0.8827906162464986,0.9869785333673159,0.006747097277729354
cosine,topk_mean,456,18,12,12,0.7152777777777778,0.7840863997113996,0.9861176659663519,0.005650130543985016
cosine,topk_mean,789,18,12,12,0.6111111111111112,0.6767734945366524,0.9889604896306992,0.004715822045165338
cosine,topk_mean,1011,18,12,12,0.798611111111111,0.828786138325612,0.9848625759283701,0.011497131157321774
cosine,topk_mean,2024,18,12,12,0.7361111111111112,0.7749404469799206,0.9834788913528124,0.01789534151032894
cosine,topk_mean,3031,18,12,12,0.7430555555555557,0.7857896732896733,0.9887380078434944,0.005152155460349304
cosine,topk_mean,4049,18,12,12,0.6666666666666666,0.7080088691501736,0.9886346062024435,0.006607803890187162
