seed,n_test_pairs,n_eval_pos,n_eval_neg,raw_roc_auc,raw_pr_auc,raw_score_mean,raw_score_std,raw_accuracy_default,raw_precision_default,raw_recall_default,raw_f1_default,raw_best_threshold,raw_accuracy_calibrated,raw_precision_calibrated,raw_recall_calibrated,raw_f1_calibrated,minmax_roc_auc,minmax_pr_auc,minmax_score_mean,minmax_score_std,minmax_accuracy_default,minmax_precision_default,minmax_recall_default,minmax_f1_default,minmax_best_threshold,minmax_accuracy_calibrated,minmax_precision_calibrated,minmax_recall_calibrated,minmax_f1_calibrated,logit_roc_auc,logit_pr_auc,logit_score_mean,logit_score_std,logit_accuracy_default,logit_precision_default,logit_recall_default,logit_f1_default,logit_best_threshold,logit_accuracy_calibrated,logit_precision_calibrated,logit_recall_calibrated,logit_f1_calibrated
123,18,12,12,0.5972222222222223,0.7052230378317335,0.9632023622592291,0.0138323103487261,0.5,0.5,1.0,0.6666666666666666,0.9682475328445435,0.7083333333333334,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.5972222222222223,0.7052230378317335,0.8118442077971686,0.12984504041426345,0.4583333333333333,0.4782608695652174,0.9166666666666666,0.6285714285714286,0.8608032394091882,0.7083333333333334,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.5972222222222223,0.7052230378317335,0.5002087723860859,0.0004949766094953116,0.5416666666666666,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.5003893094331191,0.7083333333333334,0.7272727272727273,0.6666666666666666,0.6956521739130435
456,18,12,12,0.6805555555555556,0.6778555873950611,0.9481654539704323,0.02743794045231074,0.5,0.5,1.0,0.6666666666666666,0.9083737730979919,0.625,0.5714285714285714,1.0,0.7272727272727273,0.6805555555555556,0.6778555873950611,0.7603048183727946,0.18448855224476435,0.5833333333333334,0.55,0.9166666666666666,0.6875,0.4924903808040969,0.625,0.5714285714285714,1.0,0.7272727272727273,0.6805555555555556,0.6778555873950611,0.4998434993065916,0.0027509517289691574,0.6666666666666666,0.6428571428571429,0.75,0.6923076923076923,0.4958539072831073,0.625,0.5714285714285714,1.0,0.7272727272727273
789,18,12,12,0.8402777777777778,0.8756222943722943,0.9497775509953499,0.026462621982514627,0.5,0.5,1.0,0.6666666666666666,0.9602099061012268,0.7916666666666666,0.8181818181818182,0.75,0.782608695652174,0.8402777777777778,0.8756222943722943,0.699180598505967,0.22779878474596163,0.625,0.5714285714285714,1.0,0.7272727272727273,0.7889856758988031,0.7916666666666666,0.8181818181818182,0.75,0.782608695652174,0.8402777777777778,0.8756222943722943,0.4997359612260844,0.0014642157611453371,0.75,0.75,0.75,0.75,0.5003131991924767,0.7916666666666666,0.8181818181818182,0.75,0.782608695652174
1011,18,12,12,0.7847222222222222,0.8350492100492101,0.9572035148739815,0.018931519509152544,0.5,0.5,1.0,0.6666666666666666,0.9521405100822449,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.7847222222222222,0.8350492100492101,0.7541338185377408,0.16914071851572937,0.5833333333333334,0.5454545454545454,1.0,0.7058823529411765,0.7088991891722058,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.7847222222222222,0.8350492100492101,0.500008865252391,0.0006805053415729463,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.49982687181420044,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407
2024,18,12,12,0.75,0.8083540234275528,0.9495625173052152,0.02518592352062326,0.5,0.5,1.0,0.6666666666666666,0.9572054743766785,0.75,0.75,0.75,0.75,0.75,0.8083540234275529,0.5881989372243522,0.2863718787290826,0.625,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.6729329434001831,0.75,0.75,0.75,0.75,0.75,0.8083540234275528,0.49957839951397703,0.0013432992801206344,0.7083333333333334,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.49998603692037413,0.75,0.75,0.75,0.75
3031,18,12,12,0.8055555555555556,0.8344118844118844,0.9448389882842699,0.03222421648504403,0.5,0.5,1.0,0.6666666666666666,0.9483602643013,0.7916666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.8055555555555556,0.8344118844118845,0.5643314937261228,0.29113868485956346,0.7916666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.5680243978083325,0.7916666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.8055555555555556,0.8344118844118844,0.4996057278934691,0.000803446566174734,0.6666666666666666,0.7,0.5833333333333334,0.6363636363636364,0.49969352241520953,0.7916666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148
4049,18,12,12,0.5486111111111112,0.598744483491337,0.9652596712112427,0.017072595968548168,0.5,0.5,1.0,0.6666666666666666,0.9083737730979919,0.5,0.5,1.0,0.6666666666666666,0.5486111111111112,0.598744483491337,0.8648654576665811,0.11853722752909081,0.4583333333333333,0.4782608695652174,0.9166666666666666,0.6285714285714286,0.46989935759196516,0.5,0.5,1.0,0.6666666666666666,0.5486111111111112,0.598744483491337,0.5019745339255696,0.0017785868815964518,0.4166666666666667,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.49604828832585346,0.5,0.5,1.0,0.6666666666666666
5051,18,12,12,0.5833333333333334,0.6457554184098806,0.9543902277946472,0.025407385890657046,0.5,0.5,1.0,0.6666666666666666,0.9083737730979919,0.5416666666666666,0.5217391304347826,1.0,0.6857142857142857,0.5833333333333334,0.6457554184098806,0.7264792116246134,0.22910893967751517,0.5,0.5,0.8333333333333334,0.625,0.3115297481638346,0.5416666666666666,0.5217391304347826,1.0,0.6857142857142857,0.5833333333333334,0.6457554184098806,0.4997964316750932,0.0009444885542036045,0.5833333333333334,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.4980858234571387,0.5416666666666666,0.5217391304347826,1.0,0.6857142857142857
6067,18,12,12,0.673611111111111,0.7555765724164062,0.9560608764489492,0.017949771471790617,0.5,0.5,1.0,0.6666666666666666,0.9483602643013,0.6666666666666666,0.6111111111111112,0.9166666666666666,0.7333333333333333,0.673611111111111,0.7555765724164062,0.8184513224776525,0.11369665500034701,0.5,0.5,1.0,0.6666666666666666,0.7696744428377802,0.6666666666666666,0.6111111111111112,0.9166666666666666,0.7333333333333333,0.673611111111111,0.7555765724164062,0.4999768345309792,0.0009606076364333003,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4995647228940722,0.6666666666666666,0.6111111111111112,0.9166666666666666,0.7333333333333333
7079,18,12,12,0.8125,0.8756066587874368,0.9565398097038269,0.01685504294190102,0.5,0.5,1.0,0.6666666666666666,0.9680065512657166,0.8333333333333334,1.0,0.6666666666666666,0.8,0.8125,0.8756066587874368,0.7979852871391615,0.12465524270296104,0.5,0.5,1.0,0.6666666666666666,0.8834622079074157,0.8333333333333334,1.0,0.6666666666666666,0.8,0.8125,0.8756066587874368,0.5000425309102176,0.0007638573988737905,0.7083333333333334,0.6923076923076923,0.75,0.72,0.5005621952488334,0.8333333333333334,1.0,0.6666666666666666,0.8
