dim,feature_group,mean_score_drop
0,MERT,4.3964013e-05
1,MERT,-1.833029e-06
2,MERT,-0.00016013495
3,MERT,-1.7760694e-05
4,MERT,-0.00037549957
5,MERT,0.0019014856
6,MERT,-0.0011365421
7,MERT,-7.460266e-05
8,MERT,-0.00027980487
9,MERT,0.00020222328
10,MERT,-0.00013330467
11,MERT,-1.98273e-05
12,MERT,0.00010499395
13,MERT,1.1918135e-05
14,MERT,0.00074992253
15,MERT,0.0017031285
16,MERT,0.0005334962
17,MERT,-0.0002790369
18,MERT,0.00010514837
19,MERT,0.00020784978
20,MERT,0.00013513732
21,MERT,0.00026759226
22,MERT,-0.00064260716
23,MERT,0.0020244166
24,MERT,-0.00020820256
25,MERT,0.00032227376
26,MERT,6.034877e-05
27,MERT,8.825399e-06
28,MERT,-0.00013814439
29,MERT,-0.00020037778
30,MERT,-0.0035472412
31,MERT,-0.00022688023
32,MERT,-0.0017350798
33,MERT,0.00048170518
34,MERT,0.00043028482
35,MERT,0.00047663265
36,MERT,0.002036267
37,MERT,-0.00013321583
38,MERT,0.0007674798
39,MERT,3.64637e-05
40,MERT,-0.0007528512
41,MERT,4.8109145e-05
42,MERT,0.00016027111
43,MERT,0.0004196614
44,MERT,-0.00038288775
45,MERT,0.00033576507
46,MERT,0.0011419958
47,MERT,0.0004697565
48,MERT,-7.234085e-05
49,MERT,0.0011738741
50,MERT,0.00039584617
51,MERT,0.0014170738
52,MERT,-0.0027347093
53,MERT,-0.0004006792
54,MERT,0.00047701894
55,MERT,-0.0015088192
56,MERT,0.00018237755
57,MERT,-1.4442951e-06
58,MERT,0.00290208
59,MERT,0.0001573762
60,MERT,0.00044974964
61,MERT,-0.0010312721
62,MERT,0.01046033
63,MERT,0.00038443395
64,MERT,-0.00060212315
65,MERT,4.0477144e-06
66,MERT,0.00025130194
67,MERT,0.0007392632
68,MERT,0.0001697274
69,MERT,5.5149758e-05
70,MERT,0.00030613467
71,MERT,-1.5694834e-05
72,MERT,4.9514325e-05
73,MERT,-0.0002694361
74,MERT,0.00028738083
75,MERT,0.0005494965
76,MERT,0.00030711907
77,MERT,-0.0006331339
78,MERT,-0.0009805954
79,MERT,-0.0005711134
80,MERT,1.5453435e-05
81,MERT,-0.00012215282
82,MERT,-0.00025116
83,MERT,0.0007079862
84,MERT,0.00033296162
85,MERT,0.00045683625
86,MERT,-0.00024966375
87,MERT,-0.00027106033
88,MERT,0.0004050728
89,MERT,-0.0005184077
90,MERT,0.00031945092
91,MERT,-0.0002922509
92,MERT,-0.000538245
93,MERT,-0.0005216153
