method,seed,n_test_pairs,n_eval_pos,n_eval_neg,roc_auc,pr_auc,score_mean,score_std
siamese_mean_global,123,18,12,12,0.7986111111111112,0.7439768077925972,0.43084921563665074,0.12595450275891906
siamese_mean_global,456,18,12,12,0.826388888888889,0.7780816405816406,0.44987770169973373,0.07274272815708757
siamese_mean_global,789,18,12,12,0.5277777777777778,0.5146554564952903,0.48028335720300674,0.07735320066760687
siamese_mean_global,1011,18,12,12,0.875,0.9038494185553008,0.4558836718400319,0.07035904198278711
siamese_mean_global,2024,18,12,12,0.7152777777777778,0.7072559170275888,0.45531920591990155,0.08737128255604625
siamese_mean_global,3031,18,12,12,0.6736111111111112,0.6473732887626076,0.4820981485148271,0.06157941811063327
siamese_mean_global,4049,18,12,12,0.6875,0.6069511779070602,0.46578743184606236,0.08368271185067154
siamese_mean_global,5051,18,12,12,0.6041666666666666,0.568674933105711,0.4611381031572819,0.06489312630252252
siamese_mean_global,6067,18,12,12,0.826388888888889,0.7383329633329634,0.4556392965217431,0.0910147744629096
siamese_mean_global,7079,18,12,12,0.8472222222222222,0.8246892609024963,0.4648336097598076,0.07022068128853313
cosine_mean_global,123,18,12,12,0.7430555555555556,0.7532527657527657,0.9484881361325582,0.022691781298415856
cosine_mean_global,456,18,12,12,0.5902777777777778,0.6219539311451077,0.9463250314195951,0.025676633666407437
cosine_mean_global,789,18,12,12,0.7847222222222222,0.8364731272626009,0.9496164098381996,0.020714017603873917
cosine_mean_global,1011,18,12,12,0.8611111111111112,0.87686537999038,0.9438587874174118,0.03130806177339509
cosine_mean_global,2024,18,12,12,0.7361111111111112,0.786711667961668,0.933278980354468,0.044923952081874094
cosine_mean_global,3031,18,12,12,0.7638888888888888,0.8185757267565048,0.9421126594146093,0.025668334033277052
cosine_mean_global,4049,18,12,12,0.7291666666666667,0.6926942008749789,0.9473195746541023,0.028706281363848556
cosine_mean_global,5051,18,12,12,0.5972222222222221,0.6634635040885041,0.9449495648344358,0.026346742051548758
cosine_mean_global,6067,18,12,12,0.6805555555555556,0.7103639416139416,0.9400213186939558,0.03630785432840254
cosine_mean_global,7079,18,12,12,0.8194444444444444,0.8640139751552794,0.9477522696057955,0.0202255198360569
dtw_cosine_mean_path,123,18,12,12,0.7847222222222223,0.8296416546416547,0.9695652102430662,0.01344371473259909
dtw_cosine_mean_path,456,18,12,12,0.6041666666666667,0.6284405001316766,0.9675550485650698,0.012474649455712776
dtw_cosine_mean_path,789,18,12,12,0.7430555555555556,0.7978775853775852,0.9721166516343752,0.01021954566960807
dtw_cosine_mean_path,1011,18,12,12,0.8125,0.8570150029708854,0.9651879891753197,0.021738952549131847
dtw_cosine_mean_path,2024,18,12,12,0.7777777777777778,0.833781265031265,0.9622911761204401,0.030632554092967872
dtw_cosine_mean_path,3031,18,12,12,0.7847222222222222,0.8362343674843675,0.9673814202348391,0.01220077583932789
dtw_cosine_mean_path,4049,18,12,12,0.701388888888889,0.7313582251082251,0.9690131594737371,0.01762357109892076
dtw_cosine_mean_path,5051,18,12,12,0.6111111111111112,0.7051686331098096,0.9694546759128571,0.0169931404594215
dtw_cosine_mean_path,6067,18,12,12,0.7152777777777778,0.772817106640636,0.964195504784584,0.024995340245862283
dtw_cosine_mean_path,7079,18,12,12,0.8472222222222223,0.8780753968253969,0.9698359767595927,0.011716905507376774
dtw_cosine_max_path,123,18,12,12,0.8124999999999999,0.8576505602240896,0.9874605486790339,0.0071657143408831335
dtw_cosine_max_path,456,18,12,12,0.7569444444444444,0.8202016665251959,0.9868524471918741,0.006328800897388845
dtw_cosine_max_path,789,18,12,12,0.6180555555555556,0.6772139897139897,0.9895637631416321,0.0053541734845893845
dtw_cosine_max_path,1011,18,12,12,0.7847222222222222,0.827293771043771,0.9857021272182465,0.011409858833399063
dtw_cosine_max_path,2024,18,12,12,0.6805555555555556,0.7492693648943649,0.9852041527628899,0.016645109117386536
dtw_cosine_max_path,3031,18,12,12,0.75,0.8097721521634564,0.9892529199520746,0.00569859996244231
dtw_cosine_max_path,4049,18,12,12,0.6250000000000001,0.6628369114782159,0.9897695605953535,0.005836828650066648
dtw_cosine_max_path,5051,18,12,12,0.6805555555555556,0.7518150422562186,0.9891558388868967,0.005688222976213111
